sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
126,7455611232553635090,https://www.tiktok.com/@lancomethailand/video/7455611232553635090,,,,0,,,,,0,0
127,7455612430178077970,https://www.tiktok.com/@lancomethailand/video/7455612430178077970,,,,0,,,,,0,0
128,7456705067442359559,https://www.tiktok.com/@lancomethailand/video/7456705067442359559,,,,0,,,,,0,0
129,7457371420012629255,https://www.tiktok.com/@lancomethailand/video/7457371420012629255,,,,0,,,,,0,0
130,7458134176156372242,https://www.tiktok.com/@lancomethailand/video/7458134176156372242,,,,0,,,,,0,0
131,7458255124427721991,https://www.tiktok.com/@lancomethailand/video/7458255124427721991,,,,0,,,,,0,0
132,7458487331343977736,https://www.tiktok.com/@lancomethailand/video/7458487331343977736,,,,1,zom_zaaa,🍊ส้ม.ไบเลย์🍹🍁,😂,2025-02-02T10:18:04,0,0
133,7458857106251205896,https://www.tiktok.com/@lancomethailand/video/7458857106251205896,,,,0,,,,,0,0
134,7460110854873189640,https://www.tiktok.com/@lancomethailand/video/7460110854873189640,,,,0,,,,,0,0
135,7460487390864575762,https://www.tiktok.com/@lancomethailand/video/7460487390864575762,,,,0,,,,,0,0
136,7461463793390963975,https://www.tiktok.com/@lancomethailand/video/7461463793390963975,,,,0,,,,,0,0
137,7461994872791174407,https://www.tiktok.com/@lancomethailand/video/7461994872791174407,,,,1,user62869371499183,ស្រីមុី ម៉ៅ,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,2025-03-27T10:48:32,0,0
138,7462708253928000786,https://www.tiktok.com/@lancomethailand/video/7462708253928000786,✨เฉลิมฉลองปีใหม่และฤดูใบไม้ผลิแรกของปี ครบรอบเก้าทศวรรษแห่งการสร้างสรรค์ความงามและความสุขของลังโคม ไ...,https://m.tiktok.com/v/7462708253928000786.html?_d=0&comment_author_id=7196544822668166146&preview_pb=0&share_comment_id=7531164591495578376&share_item_id=7462708253928000786&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeThailand|#Lancomexcaitm|#ของขวัญ|#รีวิวบิวตี้|#TikTokบิวตี้,32,khunwangjoi.l,Khunwangjoi.L,ไม่เอา,2025-07-26T00:25:25,0,0
139,7463047765958970631,https://www.tiktok.com/@lancomethailand/video/7463047765958970631,,,,0,,,,,0,0
140,7463079532602445063,https://www.tiktok.com/@lancomethailand/video/7463079532602445063,,,,0,,,,,0,0
141,7463682002668014855,https://www.tiktok.com/@lancomethailand/video/7463682002668014855,,,,4,dy3q719ep2e3,ณัฐณิชา,🥰🥰🥰🥰🥰🥰,2025-01-25T09:53:51,0,0
142,7463821874280090888,https://www.tiktok.com/@lancomethailand/video/7463821874280090888,,,,34,userm9qizp4ips,userm9qizp4ips,ทานอะไรถึงหล่อแบบนี้ครับ,2025-05-16T06:05:26,0,0
143,7464054029295832338,https://www.tiktok.com/@lancomethailand/video/7464054029295832338,,,,2,user1022761312984,user1022761312984,🥰🥰🥰,2025-02-15T06:14:49,0,0
144,7464193194385771784,https://www.tiktok.com/@lancomethailand/video/7464193194385771784,#ผิวYoungเริ่มใหม่ได้ทุกวัน 💙  พิสูจน์แล้วโดยคุณแอริน ผิวโทรมหลังคลอด ฟื้นฟูได้ในขั้นตอนเดียวด้วยเซร...,https://m.tiktok.com/v/7464193194385771784.html?_d=0&comment_author_id=7364795936059933702&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227464193194385771784%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252FoU3bIgSGDGADJmZaDELeDjPAuIwAeCELIce1WI~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D5bb31279%2526x-expires%253D1787763600%2526x-signature%253DaO9qKXxgawY007s%25252F8e6ruymbYY4%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730742422514076498%22%2C%22placeholder_video_id%22%3A%227464193194385771784%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7470939779779003154&share_item_id=7464193194385771784&sharer_language=en&source=h5_m&u_code=0,#ผิวYoungเริ่มใหม่ได้ทุกวัน|#Lancome|#LancomeThailand|#LancomeGenifique|#TurnoffผิวAgedกับUltimateSerum|#รีวิวบิวตี้|#เซรั่ม|#ริ้วรอย|#tiktokบิวตี้|#skincare,14,kulorborbank,Alpha Meow,คนอะไรก็ไม่รู้วววววววว ยิ่งอายุเยอะยิ่งสวย,2025-02-13T17:22:17,0,0
145,7464423204451552520,https://www.tiktok.com/@lancomethailand/video/7464423204451552520,,,,0,,,,,0,0
146,7465306984577780999,https://www.tiktok.com/@lancomethailand/video/7465306984577780999,,,,0,,,,,0,0
147,7465689058321108232,https://www.tiktok.com/@lancomethailand/video/7465689058321108232,,,,5,madammodx,Modx 🌈,หอมมว๊ากกกก,2025-05-23T17:13:17,0,0
148,7466048506160090376,https://www.tiktok.com/@lancomethailand/video/7466048506160090376,✨มอบความสดชื่นให้กับตัวคุณจากสามกลิ่นท็อปโน้ตฟอรัล ฟรุตตี้ และกูร์มองด์ ผสานระหว่างกลิ่นดอกไม้และผลไ...,https://m.tiktok.com/v/7466048506160090376.html?_d=0&comment_author_id=6540518587722989570&preview_pb=0&share_comment_id=7538478477213811474&share_item_id=7466048506160090376&sharer_language=en&source=h5_m&u_code=0,#LVEBElixir|#LancomeThailand|#น้ำหอมผู้หญิง|#น้ำหอมLancome|#น้ำหอมลังโคม|#รีวิวบิวตี้|#TikTokบิวตี้,7,saranyawangwon,Fah Saran,วิธิเปิดขวดแบ่งทำไงค่ะ,2025-08-14T17:26:40,0,1
149,7466280042843081992,https://www.tiktok.com/@lancomethailand/video/7466280042843081992,,,,0,,,,,0,0
150,7466652580899196168,https://www.tiktok.com/@lancomethailand/video/7466652580899196168,,,,0,,,,,0,0
